"","Gleba","Ponto","Ano","NDVI","EVI","PH","MO","P","K","Ca","Mg","CTC","V%","S","B","Cu","Fe","Mn","Zn"
"1",1,1,2009,0.685321739130435,0.453813043478261,5.2,27,32,1.4,20,8,68,44.1,9,0.2,2.8,17,10.1,0.5
"2",1,1,2010,0.628286956521739,0.434269565217391,5.4,34,23,2.8,31,11,75,61.1,5,0.14,3.5,22,18.6,0.8
"3",1,1,2011,0.61914347826087,0.405613043478261,5,34,34,1.8,35,12,90,54.4,24,0.2,2.8,20,11.8,0.8
"4",1,1,2012,0.643769565217391,0.434830434782609,5.1,32,20,1.3,31,12,83,52.9,31,0.19,2.8,18,14.2,1
"5",1,1,2013,0.651473913043478,0.434108695652174,5.1,32,20,1.3,31,12,83,52.9,31,0.19,2.8,18,14.2,1
"6",1,1,2014,0.642873913043478,0.43314347826087,5,29,22,0.9,31,9,81,50.4,23,0.21,2.7,14,7.9,0.4
"7",1,1,2015,0.673782608695652,0.440095652173913,5,32,21,1.1,34,13,86,55.9,142,0.22,3.3,19,24.9,0.7
"8",1,1,2016,0.620682608695652,0.424782608695652,5.2,30,20,0.8,29,11,79,51.9,72,0.21,2.6,19,12,1.8
"9",1,1,2017,0.613286956521739,0.388078260869565,5.5,32,20,1.9,42,17,89,68,30,0.27,3.4,15,11.8,3.1
"10",1,2,2009,0.66895652173913,0.455604347826087,5.2,27,32,1.4,20,8,68,44.1,9,0.2,2.8,17,10.1,0.5
"11",1,2,2010,0.576726086956522,0.40284347826087,5.2,27,32,1.4,20,8,68,44.1,9,0.2,2.8,17,10.1,0.5
"12",1,2,2011,0.589413043478261,0.413813043478261,5.2,27,32,1.1,20,8,68,44.1,9,0.2,2.8,17,10.1,0.5
"13",1,2,2012,0.610769565217391,0.420347826086957,5.2,27,32,1.1,20,8,68,44.1,9,0.2,2.8,17,10.1,0.5
"14",1,2,2013,0.622847826086957,0.433865217391304,5.2,27,32,1.1,20,8,68,44.1,9,0.2,2.8,17,10.1,0.5
"15",1,2,2014,0.58065652173913,0.39005652173913,5.2,27,32,1.1,20,8,68,44.1,9,0.2,2.8,17,10.1,0.5
"16",1,2,2015,0.63465652173913,0.418739130434783,5.3,33,26,1.2,36,13,86,59.1,47,0.21,3.1,22,12.5,0.8
"17",1,2,2016,0.553752173913043,0.370365217391304,5.6,30,25,1.3,43,19,96,65.5,66,0.21,2.2,20,13,2.1
"18",1,2,2017,0.575713043478261,0.37075652173913,5.2,36,22,1.5,36,15,86,61,30,0.18,3,16,9.7,1.1
"19",1,3,2009,0.681569565217391,0.463704347826087,5.2,29,29,1.6,20,8,67,44.6,8,0.2,2.7,16,8.9,0.6
"20",1,3,2010,0.614469565217391,0.449034782608696,5.2,29,29,1.6,20,8,67,44.6,8,0.2,2.7,16,8.9,0.6
"21",1,3,2011,0.619686956521739,0.434465217391304,4.9,36,35,1.3,33,11,89,51.3,35,0.25,2.8,18,9.2,0.7
"22",1,3,2012,0.651178260869565,0.467078260869565,5.1,37,49,0.8,35,11,91,50.6,19,0.19,2.7,24,13.1,1
"23",1,3,2013,0.651191304347826,0.461421739130435,5.1,37,49,0.8,35,11,91,50.6,19,0.19,2.7,24,13.1,1
"24",1,3,2014,0.629978260869565,0.444330434782609,5,31,70,1.7,31,11,84,51.1,35,0.27,3.4,19,8.7,0.8
"25",1,3,2015,0.663369565217391,0.437760869565217,5.2,31,25,0.9,32,10,80,53.5,37,0.18,3.5,24,21.1,0.8
"26",1,3,2016,0.58355652173913,0.400491304347826,5.5,33,33,1.4,44,16,96,64.5,65,0.24,2,19,8,1.3
"27",1,3,2017,0.5979,0.388530434782609,5.2,37,25,1,33,10,77,57,37,0.25,3.3,20,11.2,1.1
"28",1,4,2009,0.679691304347826,0.456895652173913,5,25,17,1.2,12,4,55,31.2,30,0.13,2.4,13,6.1,0.4
"29",1,4,2010,0.6044,0.420717391304348,5,33,28,3,25,8,74,48.9,7,0.23,3.1,18,12,0.9
"30",1,4,2011,0.645930434782609,0.442191304347826,5,33,28,2.4,25,8,74,48.9,7,0.23,3.1,18,12,0.9
"31",1,4,2012,0.663878260869565,0.469821739130435,5,33,28,2.4,25,8,74,48.9,7,0.23,3.1,18,12,0.9
"32",1,4,2013,0.660495652173913,0.455613043478261,5,33,28,2.4,25,8,74,48.9,7,0.23,3.1,18,12,0.9
"33",1,4,2014,0.624182608695652,0.431708695652174,5,33,28,2.4,25,8,74,48.9,7,0.23,3.1,18,12,0.9
"34",1,4,2015,0.659273913043478,0.430552173913043,5.2,31,22,0.9,36,13,85,58.7,94,0.19,3.5,22,18.9,0.9
"35",1,4,2016,0.587209090909091,0.3831,5.3,34,24,1.2,39,14,94,57.5,73,0.29,2.1,19,10.2,1.5
"36",1,4,2017,0.592591304347826,0.368082608695652,5.1,31,24,1.3,33,11,81,56,43,0.21,3.5,18,9.4,1.2
"37",1,5,2009,0.660595652173913,0.439304347826087,5.1,27,28,1.2,17,7,63,39.5,23,0.2,2.8,12,5.2,0.5
"38",1,5,2010,0.605473913043478,0.412239130434783,5.1,27,28,1.2,17,7,63,39.5,23,0.2,2.8,12,5.2,0.5
"39",1,5,2011,0.644569565217391,0.439708695652174,5.1,27,28,1,17,7,63,39.5,23,0.2,2.8,12,5.2,0.5
"40",1,5,2012,0.663530434782609,0.469069565217391,5.1,27,28,1,17,7,63,39.5,23,0.2,2.8,12,5.2,0.5
"41",1,5,2013,0.645986956521739,0.431173913043478,5.1,27,28,1,17,7,63,39.5,23,0.2,2.8,12,5.2,0.5
"42",1,5,2014,0.619921739130435,0.424760869565217,5.5,31,35,1.3,41,11,87,62,24,0.24,3.2,16,6.7,0.5
"43",1,5,2015,0.669134782608696,0.427313043478261,5.3,32,21,0.8,34,13,81,59.3,58,0.16,3.2,18,10.4,0.6
"44",1,5,2016,0.573577272727273,0.367477272727273,5.3,31,19,0.7,33,11,79,56.8,50,0.23,2.1,17,8.1,1
"45",1,5,2017,0.598213043478261,0.365039130434783,5.1,36,24,1.6,35,12,85,57,38,0.24,2.9,17,7.2,0.9
"46",1,6,2009,0.660595652173913,0.449073913043478,5.6,28,23,1.5,30,13,74,59.6,12,0.16,3.6,13,6.7,0.5
"47",1,6,2010,0.605473913043478,0.420965217391304,5.6,28,23,1.5,30,13,74,59.6,12,0.16,3.6,13,6.7,0.5
"48",1,6,2011,0.644569565217391,0.415869565217391,5.6,36,32,0.9,49,17,94,70.4,51,0.2,3.4,13,6.6,0.6
"49",1,6,2012,0.663530434782609,0.457873913043478,5.5,38,27,1,38,11,83,59.8,32,0.19,2.8,14,6.2,0.5
"50",1,6,2013,0.645986956521739,0.445604347826087,5.5,38,27,1,38,11,83,59.8,32,0.19,2.8,14,6.2,0.5
"51",1,6,2014,0.619921739130435,0.439039130434783,5.5,38,27,1,38,11,83,59.8,32,0.19,2.8,14,6.2,0.5
"52",1,6,2015,0.669134782608696,0.428673913043478,5.6,32,25,0.8,42,20,90,69,85,0.16,3.5,15,6.1,0.6
"53",1,6,2017,0.598213043478261,0.373282608695652,5.3,33,17,1.1,40,12,86,62,46,0.28,3.4,16,7,0.7
"54",1,7,2009,0.592491304347826,0.3921,5.9,29,15,2,34,13,74,66.4,28,0.16,2.8,12,4.9,0.5
"55",1,7,2010,0.629117391304348,0.433821739130435,5.4,31,14,1.4,32,11,74,59.4,19,0.14,3,17,7.1,0.7
"56",1,7,2011,0.579847826086957,0.368626086956522,5.4,31,14,1.1,32,11,74,59.4,19,0.14,3,17,7.1,0.7
"57",1,7,2012,0.592465217391304,0.395565217391304,5.4,31,14,1.1,32,11,74,59.4,19,0.14,3,17,7.1,0.7
"58",1,7,2013,0.5922,0.40274347826087,5.4,31,14,1.1,32,11,74,59.4,19,0.14,3,17,7.1,0.7
"59",1,7,2014,0.598169565217391,0.403847826086957,5.4,30,22,1.1,36,10,80,58.3,26,0.16,2.8,12,4.1,0.5
"60",1,7,2015,0.635039130434783,0.415765217391304,5.7,32,8,0.8,49,17,91,72.6,78,0.17,2.9,16,6.7,0.5
"61",1,7,2016,0.5505,0.367065217391304,5.4,32,24,1,43,11,92,60.7,45,0.24,2.7,19,10.2,1
"62",1,7,2017,0.590117391304348,0.385286956521739,5.5,35,16,1.6,47,18,95,70,24,0.21,3.2,16,6.5,0.8
"63",1,8,2009,0.592491304347826,0.395782608695652,5.1,27,15,1.6,16,6,65,35.5,33,0.11,2.5,14,4.4,0.5
"64",1,8,2010,0.629117391304348,0.430060869565217,5.1,27,15,1.6,16,6,65,35.5,33,0.11,2.5,14,4.4,0.5
"65",1,8,2011,0.579847826086957,0.385639130434783,5.1,27,15,1.3,16,6,65,35.5,33,0.11,2.5,14,4.4,0.5
