"","Longitude","Latitude","mes","evi_mean","evi_sd","evi_max","evi_min","evi_cv","evi_obs"
"1",622505.33,7960308.29,"Jan",0.501897619047619,0.0837644301018658,0.6604,0.2975,16.6895452225523,42
"2",622505.33,7960308.29,"Feb",0.50005,0.0870457806377154,0.7495,0.2829,17.4074153860045,42
"3",622505.33,7960308.29,"Mar",0.466931818181818,0.0982404472490181,0.6597,0.2358,21.0395701093054,44
"4",622505.33,7960308.29,"Apr",0.409593023255814,0.0870202505040359,0.5704,0.1976,21.245540222419,43
"5",622505.33,7960308.29,"May",0.368627272727273,0.0751055423701513,0.4849,0.197,20.37438570795,44
"6",622505.33,7960308.29,"Jun",0.311056818181818,0.0771442605070233,0.483,0.1668,24.8006974924855,44
"7",622505.33,7960308.29,"Jul",0.242572093023256,0.0661632192657687,0.4163,0.0988,27.2756929460247,43
"8",622505.33,7960308.29,"Aug",0.202971428571429,0.0511568286251462,0.3117,0.1253,25.2039555444836,42
"9",622505.33,7960308.29,"Sep",0.215392857142857,0.0719864431439398,0.4383,0.0768,33.4209983092408,42
"10",622505.33,7960308.29,"Oct",0.27742962962963,0.0976039675061136,0.514,0.1299,35.1815224770388,27
"11",622505.33,7960308.29,"Nov",0.36255,0.0980766682608196,0.591,0.1629,27.0519013269396,36
"12",622505.33,7960308.29,"Dec",0.442878048780488,0.117543622779365,0.7696,0.2188,26.5408554573959,41
"13",622516.63,7958768.9,"Jan",0.495780952380952,0.120898337130922,0.8342,0.1836,24.385434041045,42
"14",622516.63,7958768.9,"Feb",0.532041860465116,0.126871857423071,0.9537,0.2513,23.8462171589578,43
"15",622516.63,7958768.9,"Mar",0.472309090909091,0.143759208915435,0.7906,0.1623,30.437527390957,44
"16",622516.63,7958768.9,"Apr",0.393355813953488,0.137274098937865,0.631,0.0911,34.8982000693388,43
"17",622516.63,7958768.9,"May",0.381654545454545,0.10074381844859,0.521,0.1614,26.3965986121312,44
"18",622516.63,7958768.9,"Jun",0.329456818181818,0.10407175833368,0.5702,0.1383,31.5888919549528,44
"19",622516.63,7958768.9,"Jul",0.2503,0.0851753185125887,0.4044,0.1088,34.0292922543303,44
"20",622516.63,7958768.9,"Aug",0.197942857142857,0.0619130473772699,0.3192,0.0806,31.2782427569926,42
"21",622516.63,7958768.9,"Sep",0.193678571428571,0.0714340956226199,0.4022,0.0805,36.8828079925015,42
"22",622516.63,7958768.9,"Oct",0.239214814814815,0.0940615702763302,0.4759,0.07,39.3209636071858,27
"23",622516.63,7958768.9,"Nov",0.313438888888889,0.113544469017405,0.6201,0.0656,36.225392905108,36
"24",622516.63,7958768.9,"Dec",0.396028571428571,0.119844245027461,0.6322,0.153,30.2615148687767,42
"25",622592.78,7958998.59,"Jan",0.492578571428571,0.124225814323155,0.9033,0.211,25.2194921843384,42
"26",622592.78,7958998.59,"Feb",0.524904651162791,0.122890303297365,0.9217,0.2885,23.411928818907,43
"27",622592.78,7958998.59,"Mar",0.458229545454545,0.138079526427321,0.7906,0.138,30.1332656955482,44
"28",622592.78,7958998.59,"Apr",0.379862790697674,0.123230411412072,0.5565,0.0984,32.440769254009,43
"29",622592.78,7958998.59,"May",0.360040909090909,0.0980254008803789,0.524,0.1443,27.2261841377664,44
"30",622592.78,7958998.59,"Jun",0.310861363636364,0.0938833076178084,0.4482,0.1014,30.2010216128468,44
"31",622592.78,7958998.59,"Jul",0.23005,0.0818843753730378,0.4066,0.1047,35.5941644742612,44
"32",622592.78,7958998.59,"Aug",0.196530952380952,0.0594861635401829,0.3126,0.0988,30.2680889801398,42
"33",622592.78,7958998.59,"Sep",0.190195238095238,0.0701779374419088,0.4022,0.0749,36.897841473175,42
"34",622592.78,7958998.59,"Oct",0.240648148148148,0.0936855968339374,0.5014,0.0806,38.9305288882849,27
"35",622592.78,7958998.59,"Nov",0.311611111111111,0.10026372304443,0.607,0.0792,32.1759139739658,36
"36",622592.78,7958998.59,"Dec",0.383021428571429,0.119343271108534,0.6075,0.1222,31.1583797161568,42
"37",622661.99,7960001.85,"Jan",0.497166666666667,0.128760063621217,0.8991,0.21,25.8987724347067,42
"38",622661.99,7960001.85,"Feb",0.486106976744186,0.0942084704394837,0.6535,0.2628,19.3801930329136,43
"39",622661.99,7960001.85,"Mar",0.449977272727273,0.0919841160798627,0.6305,0.2285,20.4419471059849,44
"40",622661.99,7960001.85,"Apr",0.389053488372093,0.0907246654885964,0.5188,0.1796,23.3193296552136,43
"41",622661.99,7960001.85,"May",0.354459090909091,0.0902465416928894,0.5216,0.1738,25.4603546664388,44
"42",622661.99,7960001.85,"Jun",0.304159090909091,0.0934731184294275,0.563,0.1286,30.7316536717837,44
"43",622661.99,7960001.85,"Jul",0.250139534883721,0.0667782333354033,0.4118,0.1313,26.6963930217771,43
"44",622661.99,7960001.85,"Aug",0.207245238095238,0.0427944218064318,0.3137,0.1396,20.6491701328095,42
"45",622661.99,7960001.85,"Sep",0.211421428571429,0.0677189764653835,0.4253,0.0752,32.0303277311858,42
"46",622661.99,7960001.85,"Oct",0.289755555555556,0.112123977856016,0.5509,0.0651,38.696058006908,27
"47",622661.99,7960001.85,"Nov",0.338961111111111,0.0999248868694532,0.6035,0.1799,29.4797496213947,36
"48",622661.99,7960001.85,"Dec",0.429511904761905,0.10902934311321,0.736,0.2086,25.3844752390854,42
"49",622668.26,7959231.66,"Jan",0.485069047619048,0.136585787369206,0.9034,0.2264,28.1580092647912,42
"50",622668.26,7959231.66,"Feb",0.519283720930233,0.120992805630734,0.8758,0.2888,23.2999419689086,43
"51",622668.26,7959231.66,"Mar",0.446597727272727,0.141976333580777,0.6966,0.0935,31.7906529546837,44
"52",622668.26,7959231.66,"Apr",0.374676744186047,0.153209559003672,0.6012,0.1263,40.891131190036,43
"53",622668.26,7959231.66,"May",0.362215909090909,0.117358797776023,0.5341,0.1183,32.4002327977726,44
"54",622668.26,7959231.66,"Jun",0.300593181818182,0.112506089546253,0.5222,0.1001,37.4280244367963,44
"55",622668.26,7959231.66,"Jul",0.223418181818182,0.0922937229157032,0.4409,0.0891,41.3098531930638,44
"56",622668.26,7959231.66,"Aug",0.178709523809524,0.0572453930813302,0.3084,0.0595,32.0326482109284,42
"57",622668.26,7959231.66,"Sep",0.180728571428571,0.0659048881776935,0.387,0.0675,36.4662253769547,42
"58",622668.26,7959231.66,"Oct",0.240444444444444,0.0757165276812306,0.439,0.149,31.490237945059,27
"59",622668.26,7959231.66,"Nov",0.305608333333333,0.0920821477191504,0.5546,0.0931,30.13077121124,36
"60",622668.26,7959231.66,"Dec",0.385321428571429,0.125246209300924,0.7124,0.1274,32.5043457264424,42
"61",622737.52,7960234.42,"Jan",0.497019047619048,0.138637054206553,0.9031,0.2426,27.8937104866885,42
"62",622737.52,7960234.42,"Feb",0.50233488372093,0.130954468429954,0.8084,0.1864,26.069156786393,43
"63",622737.52,7960234.42,"Mar",0.427786363636364,0.136417131487264,0.6257,0.1544,31.889079008424,44
"64",622737.52,7960234.42,"Apr",0.385072093023256,0.148340421434042,0.6011,0.1442,38.5227660278885,43
"65",622737.52,7960234.42,"May",0.365765909090909,0.141206714615994,0.5819,0.1392,38.6057615284473,44
"66",622737.52,7960234.42,"Jun",0.305156818181818,0.13419698883692,0.5685,0.1207,43.9764019157399,44
"67",622737.52,7960234.42,"Jul",0.233474418604651,0.108353581462383,0.4994,0.1027,46.4091878287795,43
"68",622737.52,7960234.42,"Aug",0.172557142857143,0.0713620147057042,0.3788,0.0764,41.3555843149209,42
"69",622737.52,7960234.42,"Sep",0.164157142857143,0.0696132912135955,0.356,0.0444,42.4064953872742,42
"70",622737.52,7960234.42,"Oct",0.205755555555556,0.096067821929387,0.4269,0.0841,46.6902687852081,27
"71",622737.52,7960234.42,"Nov",0.259083333333333,0.104281472125068,0.6156,0.1126,40.2501661466974,36
"72",622737.52,7960234.42,"Dec",0.372847619047619,0.143306768410433,0.8604,0.1614,38.4357472300582,42
"73",622745.01,7959462.97,"Jan",0.474552380952381,0.135171546360217,0.9193,0.2477,28.4840097291137,42
"74",622745.01,7959462.97,"Feb",0.526451162790698,0.154101020317522,0.8677,0.1694,29.2716649158183,43
"75",622745.01,7959462.97,"Mar",0.463047727272727,0.154564609037152,0.7287,0.1082,33.3798440060404,44
"76",622745.01,7959462.97,"Apr",0.375797674418605,0.152577489272036,0.6004,0.1263,40.6009668655049,43
"77",622745.01,7959462.97,"May",0.360634090909091,0.13360928449702,0.5514,0.1234,37.0484343729722,44
"78",622745.01,7959462.97,"Jun",0.303013636363636,0.117254784383785,0.5008,0.1031,38.6962071380417,44
"79",622745.01,7959462.97,"Jul",0.228261363636364,0.0951075112968161,0.4671,0.0965,41.6660576199523,44
"80",622745.01,7959462.97,"Aug",0.176959523809524,0.0611219056158197,0.3084,0.0619,34.5400486506792,42
"81",622745.01,7959462.97,"Sep",0.185066666666667,0.0633912345508918,0.4068,0.0767,34.2531886982485,42
"82",622745.01,7959462.97,"Oct",0.239788888888889,0.0791885060294705,0.4404,0.1079,33.0242599631729,27
"83",622745.01,7959462.97,"Nov",0.298555555555556,0.109976286910132,0.6897,0.1038,36.8361214064454,36
"84",622745.01,7959462.97,"Dec",0.394183333333333,0.125083357409421,0.7559,0.1574,31.7322795846487,42
"85",622750.04,7958690.97,"Jan",0.533580952380952,0.163972548621743,0.9242,0.1963,30.7305850949256,42
"86",622750.04,7958690.97,"Feb",0.511772093023256,0.144962861131463,0.9518,0.2866,28.3256674421431,43
"87",622750.04,7958690.97,"Mar",0.384156818181818,0.15222754907249,0.7318,0.1483,39.6264082446773,44
"88",622750.04,7958690.97,"Apr",0.391662790697674,0.145097914433595,0.66,0.1001,37.0466426425473,43
"89",622750.04,7958690.97,"May",0.333518181818182,0.110950865456086,0.5137,0.1458,33.2668116776228,44
"90",622750.04,7958690.97,"Jun",0.247368181818182,0.0819243603852011,0.4259,0.1404,33.1183904829831,44
"91",622750.04,7958690.97,"Jul",0.190943181818182,0.0818642478051949,0.4599,0.0638,42.8736166568896,44
"92",622750.04,7958690.97,"Aug",0.141652380952381,0.0495398890183345,0.2809,0.0455,34.9728600996747,42
"93",622750.04,7958690.97,"Sep",0.139428571428571,0.0599180915946797,0.3282,0.0501,42.9740411027416,42
"94",622750.04,7958690.97,"Oct",0.183514814814815,0.0725189667694634,0.3657,0.0563,39.5166825319484,27
"95",622750.04,7958690.97,"Nov",0.220666666666667,0.0964532662558846,0.4508,0.0671,43.7099393908843,36
"96",622750.04,7958690.97,"Dec",0.391939024390244,0.154538545156296,0.7266,0.0759,39.4292314720938,41
"97",622819.81,7959695.58,"Jan",0.50205,0.143705184742762,0.9065,0.21,28.6236798611217,42
"98",622819.81,7959695.58,"Feb",0.521667441860465,0.138826724339801,0.8379,0.2027,26.6121120851806,43
"99",622819.81,7959695.58,"Mar",0.465206818181818,0.139558977109916,0.6935,0.1096,29.9993404342952,44
"100",622819.81,7959695.58,"Apr",0.380648837209302,0.148820290110642,0.5887,0.1349,39.0964783188901,43
"101",622819.81,7959695.58,"May",0.363831818181818,0.135268937586155,0.5582,0.1387,37.1789741375937,44
"102",622819.81,7959695.58,"Jun",0.305156818181818,0.119181464919417,0.4944,0.0686,39.0558092817728,44
"103",622819.81,7959695.58,"Jul",0.226845454545455,0.0962127571064313,0.4561,0.0815,42.4133502252532,44
"104",622819.81,7959695.58,"Aug",0.174409523809524,0.0624354215033766,0.3204,0.0714,35.7981721064519,42
"105",622819.81,7959695.58,"Sep",0.179390476190476,0.0731337592111405,0.4356,0.0569,40.7679163154054,42
"106",622819.81,7959695.58,"Oct",0.230385185185185,0.0948887352627912,0.4652,0.0651,41.1869952429966,27
"107",622819.81,7959695.58,"Nov",0.266180555555556,0.1208908854403,0.7276,0.1276,45.4168732152444,36
"108",622819.81,7959695.58,"Dec",0.376571428571429,0.135863534987769,0.736,0.1515,36.0790874398477,42
"109",622825.73,7958924.8,"Jan",0.498835714285714,0.148027286247731,0.9513,0.1917,29.6745565741402,42
"110",622825.73,7958924.8,"Feb",0.531251162790698,0.159571105768666,0.9321,0.1536,30.0368482829154,43
"111",622825.73,7958924.8,"Mar",0.455206818181818,0.174010759354231,0.8777,0.0949,38.2267471408408,44
"112",622825.73,7958924.8,"Apr",0.393393023255814,0.155926503436637,0.6473,0.0962,39.6363164110417,43
"113",622825.73,7958924.8,"May",0.362525,0.129296848151301,0.5552,0.1257,35.66563634268,44
"114",622825.73,7958924.8,"Jun",0.302270454545455,0.129235952553253,0.6451,0.1303,42.7550726873371,44
"115",622825.73,7958924.8,"Jul",0.226161363636364,0.104924081559576,0.4776,0.0728,46.3934599051495,44
"116",622825.73,7958924.8,"Aug",0.161745238095238,0.064493188153747,0.316,0.0468,39.873314919956,42
"117",622825.73,7958924.8,"Sep",0.160090476190476,0.0737421242079081,0.396,0.0441,46.0627802244585,42
"118",622825.73,7958924.8,"Oct",0.193181481481481,0.0992304739057864,0.4854,0.0522,51.3664524905813,27
"119",622825.73,7958924.8,"Nov",0.239569444444444,0.110585020477315,0.6528,0.0477,46.1599018746983,36
"120",622825.73,7958924.8,"Dec",0.371278571428571,0.143712398324069,0.6261,0.0751,38.7074313960823,42
"121",622895.16,7959926.41,"Jan",0.515654761904762,0.151092043022047,0.9063,0.21,29.3010079968878,42
"122",622895.16,7959926.41,"Feb",0.515939534883721,0.151455492660126,0.8816,0.2027,29.3552795279121,43
"123",622895.16,7959926.41,"Mar",0.447277272727273,0.153547020089729,0.7237,0.1036,34.3292694380548,44
"124",622895.16,7959926.41,"Apr",0.369481395348837,0.170024609221324,0.6042,0.0838,46.0170962223413,43
"125",622895.16,7959926.41,"May",0.360129545454545,0.148406639009561,0.5778,0.1433,41.209237309937,44
"126",622895.16,7959926.41,"Jun",0.296190909090909,0.130790197374983,0.5404,0.0751,44.1573975975203,44
"127",622895.16,7959926.41,"Jul",0.216695454545455,0.1017156294833,0.4525,0.0889,46.9394384375348,44
"128",622895.16,7959926.41,"Aug",0.164607142857143,0.0643382463837428,0.3438,0.0788,39.0859383541939,42
"129",622895.16,7959926.41,"Sep",0.157628571428571,0.0733544760990293,0.3858,0.0513,46.5362817376478,42
"130",622895.16,7959926.41,"Oct",0.204585185185185,0.10649621771436,0.5366,0.054,52.0547065115993,27
"131",622895.16,7959926.41,"Nov",0.25225,0.122523734143926,0.7587,0.0869,48.5723425744007,36
"132",622895.16,7959926.41,"Dec",0.376638095238095,0.146892879424265,0.8379,0.1515,39.0010679433278,42
"133",622902.01,7959155.77,"Jan",0.498014285714286,0.151157460417014,0.9518,0.1917,30.3520330145177,42
"134",622902.01,7959155.77,"Feb",0.546058139534884,0.144021038860826,0.9005,0.3014,26.374671199572,43
"135",622902.01,7959155.77,"Mar",0.450645454545455,0.159701237714977,0.7841,0.1138,35.4383331961176,44
"136",622902.01,7959155.77,"Apr",0.376958139534884,0.156813072269347,0.603,0.077,41.5995984230062,43
"137",622902.01,7959155.77,"May",0.345397727272727,0.127121848685894,0.5379,0.1214,36.8044832517146,44
"138",622902.01,7959155.77,"Jun",0.282381818181818,0.118850616170297,0.5877,0.0796,42.08862204215,44
"139",622902.01,7959155.77,"Jul",0.212715909090909,0.0934849345981948,0.418,0.0958,43.9482570898079,44
"140",622902.01,7959155.77,"Aug",0.163069047619048,0.0663291404455205,0.3402,0.049,40.6754938561208,42
"141",622902.01,7959155.77,"Sep",0.152419047619048,0.0693915023900542,0.3732,0.0448,45.5267917455367,42
"142",622902.01,7959155.77,"Oct",0.193074074074074,0.094168509323171,0.4677,0.0525,48.773254397192,27
"143",622902.01,7959155.77,"Nov",0.250436111111111,0.116851794173591,0.677,0.0477,46.659323072521,36
"144",622902.01,7959155.77,"Dec",0.373361904761905,0.138576058102438,0.6773,0.0766,37.1157465009208,42
"145",622971.54,7960156.56,"Jan",0.510464285714286,0.156845437078686,0.9981,0.2502,30.726035389374,42
"146",622971.54,7960156.56,"Feb",0.511604651162791,0.158927129083753,0.9536,0.1962,31.0644417955425,43
"147",622971.54,7960156.56,"Mar",0.447847727272727,0.145689460263685,0.717,0.0842,32.5310259250158,44
"148",622971.54,7960156.56,"Apr",0.376241860465116,0.15623732593559,0.6248,0.1112,41.5257690206101,43
"149",622971.54,7960156.56,"May",0.360877272727273,0.138190734155161,0.5623,0.1389,38.2930000304001,44
"150",622971.54,7960156.56,"Jun",0.289788636363636,0.126727861175423,0.5711,0.0763,43.7311354805509,44
"151",622971.54,7960156.56,"Jul",0.206704545454545,0.0927065812734807,0.4292,0.0864,44.8498029250484,44
"152",622971.54,7960156.56,"Aug",0.156385714285714,0.0653062525353358,0.3383,0.0712,41.7597303139993,42
"153",622971.54,7960156.56,"Sep",0.145261904761905,0.071553571785815,0.4207,0.0516,49.2583185544047,42
"154",622971.54,7960156.56,"Oct",0.185455555555556,0.0925155676435607,0.4325,0.0621,49.8855735900813,27
"155",622971.54,7960156.56,"Nov",0.247480555555556,0.117926429412444,0.5957,0.102,47.6507857951579,36
"156",622971.54,7960156.56,"Dec",0.371407142857143,0.146718872367228,0.7687,0.1391,39.5035139169795,42
"157",622977.08,7959388.38,"Jan",0.489597619047619,0.169403676477073,0.9499,0.1771,34.6005923816792,42
"158",622977.08,7959388.38,"Feb",0.547853488372093,0.173063789985682,0.9602,0.1351,31.5894292285933,43
"159",622977.08,7959388.38,"Mar",0.462463636363636,0.159916018789673,0.7712,0.0697,34.5791552492855,44
"160",622977.08,7959388.38,"Apr",0.368458139534884,0.182701736161582,0.6261,0.0696,49.5854797487204,43
"161",622977.08,7959388.38,"May",0.354409090909091,0.149897549227032,0.6204,0.1116,42.2950632678558,44
"162",622977.08,7959388.38,"Jun",0.278197727272727,0.121893032573906,0.5208,0.0973,43.815251033453,44
"163",622977.08,7959388.38,"Jul",0.203302272727273,0.0972725073820399,0.486,0.0487,47.8462469096593,44
"164",622977.08,7959388.38,"Aug",0.157521428571429,0.0672988041633122,0.3746,0.0476,42.7235867358804,42
"165",622977.08,7959388.38,"Sep",0.149271428571429,0.0807594872044094,0.4542,0.0473,54.1024414231855,42
"166",622977.08,7959388.38,"Oct",0.193303703703704,0.110844494264857,0.5151,0.0541,57.3421471710442,27
"167",622977.08,7959388.38,"Nov",0.259711111111111,0.151795043731959,0.7019,0.0515,58.4476509620788,36
"168",622977.08,7959388.38,"Dec",0.396480952380952,0.165662728543083,0.7621,0.0624,41.78327547597,42
"169",622982.53,7958617.25,"Jan",0.5162,0.154405401459923,0.8552,0.174,29.9119336419843,41
"170",622982.53,7958617.25,"Feb",0.506597674418605,0.151443049940944,0.97,0.2924,29.8941462995754,43
"171",622982.53,7958617.25,"Mar",0.410238636363636,0.13870424653701,0.6963,0.0684,33.8106249002988,44
"172",622982.53,7958617.25,"Apr",0.375144186046512,0.174524051149631,0.6387,0.0606,46.5218594985749,43
"173",622982.53,7958617.25,"May",0.344302272727273,0.125822182553879,0.5999,0.1032,36.5441045617333,44
"174",622982.53,7958617.25,"Jun",0.257754545454545,0.113079544866569,0.6354,0.0938,43.87101871168,44
"175",622982.53,7958617.25,"Jul",0.181445454545455,0.0660267368484794,0.3757,0.0731,36.3893033385076,44
"176",622982.53,7958617.25,"Aug",0.148361904761905,0.0574909704570054,0.3421,0.0434,38.7504936319526,42
"177",622982.53,7958617.25,"Sep",0.144947619047619,0.0635515970058792,0.3841,0.0512,43.8445263354073,42
"178",622982.53,7958617.25,"Oct",0.185974074074074,0.0829379591696412,0.4166,0.0537,44.5965167900805,27
"179",622982.53,7958617.25,"Nov",0.252877777777778,0.108313611098543,0.4753,0.0554,42.8323959702484,36
"180",622982.53,7958617.25,"Dec",0.391416666666667,0.149171884679593,0.6744,0.0669,38.110764661595,42
"181",623053.41,7959619.69,"Jan",0.486959523809524,0.16834103750151,0.9702,0.2087,34.5698213651444,42
"182",623053.41,7959619.69,"Feb",0.545955813953488,0.174700465153694,0.9731,0.1328,31.9990117677503,43
"183",623053.41,7959619.69,"Mar",0.479295454545455,0.17197928614394,0.8693,0.069,35.8816851929128,44
"184",623053.41,7959619.69,"Apr",0.372720930232558,0.183670930585031,0.6389,0.0768,49.2784052858072,43
"185",623053.41,7959619.69,"May",0.350840909090909,0.161368590526337,0.6305,0.1025,45.9948045809343,44
"186",623053.41,7959619.69,"Jun",0.279227272727273,0.125495077942276,0.544,0.0988,44.9437036420326,44
"187",623053.41,7959619.69,"Jul",0.200309090909091,0.0941768421102131,0.4719,0.0558,47.0157603345895,44
"188",623053.41,7959619.69,"Aug",0.15725,0.0688890456441087,0.3766,0.0498,43.8086140821041,42
"189",623053.41,7959619.69,"Sep",0.148061904761905,0.0791971450347122,0.4371,0.0496,53.4892112607004,42
"190",623053.41,7959619.69,"Oct",0.191503703703704,0.109723763226223,0.5136,0.0553,57.2958961650102,27
"191",623053.41,7959619.69,"Nov",0.258519444444444,0.146626029299896,0.7211,0.0515,56.7176018867725,36
"192",623053.41,7959619.69,"Dec",0.392478571428571,0.16770835826534,0.7603,0.0667,42.7305770235821,42
"193",623059.13,7958849.12,"Jan",0.499757142857143,0.148035694678529,0.9513,0.2072,29.6215265343082,42
"194",623059.13,7958849.12,"Feb",0.520755813953488,0.184518385072271,0.9611,0.1243,35.4328036534896,43
"195",623059.13,7958849.12,"Mar",0.443563636363636,0.178333776543415,0.8307,0.0668,40.2047782828654,44
"196",623059.13,7958849.12,"Apr",0.374727906976744,0.175971072197327,0.6419,0.0578,46.9596923317077,43
"197",623059.13,7958849.12,"May",0.354593181818182,0.145438020680316,0.6291,0.1006,41.0154588801117,44
"198",623059.13,7958849.12,"Jun",0.282247727272727,0.133039662714469,0.6451,0.1057,47.1357782044838,44
"199",623059.13,7958849.12,"Jul",0.198427272727273,0.0847938165901494,0.4233,0.0577,42.7329446324114,44
"200",623059.13,7958849.12,"Aug",0.156819047619048,0.0639807792711531,0.3561,0.0468,40.7991122523447,42
"201",623059.13,7958849.12,"Sep",0.150802380952381,0.0788940768375323,0.4424,0.0435,52.3162010700911,42
"202",623059.13,7958849.12,"Oct",0.200959259259259,0.0991943479285421,0.4728,0.0539,49.3604267323511,27
"203",623059.13,7958849.12,"Nov",0.264369444444444,0.122955782573468,0.5883,0.0477,46.5090747653731,36
"204",623059.13,7958849.12,"Dec",0.381054761904762,0.151087653774598,0.701,0.0639,39.6498532177796,42
"205",623128.41,7959852.61,"Jan",0.529930952380952,0.173744266075726,0.934,0.2166,32.7862083343316,42
"206",623128.41,7959852.61,"Feb",0.526962790697674,0.156562949492948,0.9076,0.1914,29.7104372940005,43
"207",623128.41,7959852.61,"Mar",0.456481818181818,0.157628046543382,0.706,0.12,34.5310678903311,44
"208",623128.41,7959852.61,"Apr",0.361906976744186,0.175370245610264,0.6424,0.0656,48.4572713098659,43
"209",623128.41,7959852.61,"May",0.359877272727273,0.142368592799272,0.599,0.1185,39.56031780511,44
"210",623128.41,7959852.61,"Jun",0.295063636363636,0.13355860152863,0.5639,0.0818,45.2643379491305,44
"211",623128.41,7959852.61,"Jul",0.207972727272727,0.10138567249734,0.443,0.0861,48.7495037579551,44
"212",623128.41,7959852.61,"Aug",0.160911904761905,0.0660616054034302,0.3204,0.0521,41.0545170670741,42
"213",623128.41,7959852.61,"Sep",0.149904761904762,0.0685031918515069,0.3873,0.0459,45.6978090496075,42
"214",623128.41,7959852.61,"Oct",0.188811111111111,0.106815363103216,0.5145,0.0583,56.5726044800177,27
"215",623128.41,7959852.61,"Nov",0.252866666666667,0.135714060751693,0.7504,0.0522,53.6702059392407,36
"216",623128.41,7959852.61,"Dec",0.375954761904762,0.157309037469098,0.8004,0.1038,41.8425442125263,42
"217",623135.76,7959082.5,"Jan",0.497464285714286,0.145394841424625,0.9518,0.2072,29.2271919009944,42
"218",623135.76,7959082.5,"Feb",0.527320930232558,0.180720115830476,0.9675,0.1255,34.2713716580101,43
