"","Longitude","Latitude","mes","ndvi_mean","ndvi_sd","ndvi_max","ndvi_min","ndvi_cv","ndvi_obs"
"1",622505.33,7960308.29,"Jan",0.717357142857143,0.131053031795747,0.9736,0.4052,18.2688683176388,42
"2",622505.33,7960308.29,"Feb",0.756857142857143,0.0823225871943377,0.8797,0.5824,10.8768990252994,42
"3",622505.33,7960308.29,"Mar",0.738525,0.0906440139636472,0.8332,0.4831,12.2736554569781,44
"4",622505.33,7960308.29,"Apr",0.723862790697674,0.0994146080653567,0.8606,0.4695,13.7339022454157,43
"5",622505.33,7960308.29,"May",0.685,0.110794219478127,0.8344,0.397,16.1743386099456,44
"6",622505.33,7960308.29,"Jun",0.600929545454545,0.108048928579743,0.784,0.3302,17.9802989214009,44
"7",622505.33,7960308.29,"Jul",0.478351162790698,0.107639321395671,0.682,0.2182,22.5021552718098,43
"8",622505.33,7960308.29,"Aug",0.385616666666667,0.082373666513998,0.5579,0.2456,21.3615420790936,42
"9",622505.33,7960308.29,"Sep",0.403964285714286,0.11225171370614,0.7374,0.2212,27.7875341152145,42
"10",622505.33,7960308.29,"Oct",0.48092962962963,0.145644434826777,0.7695,0.2281,30.2839388246759,27
"11",622505.33,7960308.29,"Nov",0.580463888888889,0.107669908656777,0.7706,0.2842,18.5489417546501,36
"12",622505.33,7960308.29,"Dec",0.675273170731707,0.149692062288537,0.9007,0.3217,22.1676306384769,41
"13",622516.63,7958768.9,"Jan",0.681595238095238,0.15121740923194,0.9086,0.3256,22.185807761,42
"14",622516.63,7958768.9,"Feb",0.757039534883721,0.103994249244701,0.9392,0.4806,13.7369641151798,43
"15",622516.63,7958768.9,"Mar",0.706877272727273,0.129452339911908,0.8862,0.4281,18.3132694891229,44
"16",622516.63,7958768.9,"Apr",0.654379069767442,0.155063098613097,0.8311,0.2704,23.6962191758677,43
"17",622516.63,7958768.9,"May",0.655756818181818,0.122144520572638,0.8031,0.3277,18.6264964672883,44
"18",622516.63,7958768.9,"Jun",0.578070454545455,0.140007138654453,0.7929,0.2604,24.2197361158239,44
"19",622516.63,7958768.9,"Jul",0.450225,0.119607628140108,0.6611,0.2483,26.5661898251114,44
"20",622516.63,7958768.9,"Aug",0.363661904761905,0.0890605848939319,0.5668,0.2034,24.4899407190427,42
"21",622516.63,7958768.9,"Sep",0.354585714285714,0.100513633516295,0.6842,0.19,28.3467803317379,42
"22",622516.63,7958768.9,"Oct",0.408333333333333,0.126282314980852,0.6662,0.1866,30.9262812198004,27
"23",622516.63,7958768.9,"Nov",0.497386111111111,0.1245555737189,0.7936,0.1797,25.0420289060054,36
"24",622516.63,7958768.9,"Dec",0.620459523809524,0.13798778146602,0.8781,0.2972,22.2396105097713,42
"25",622592.78,7958998.59,"Jan",0.682542857142857,0.1520881822879,0.9086,0.3274,22.2825835324899,42
"26",622592.78,7958998.59,"Feb",0.755202325581395,0.104702050028532,0.9373,0.5057,13.8641058802257,43
"27",622592.78,7958998.59,"Mar",0.707563636363636,0.132580864470249,0.8862,0.3634,18.7376594353575,44
"28",622592.78,7958998.59,"Apr",0.664867441860465,0.136891941605901,0.836,0.3621,20.5893585679039,43
"29",622592.78,7958998.59,"May",0.648484090909091,0.128003787994789,0.811,0.3036,19.7389249465386,44
"30",622592.78,7958998.59,"Jun",0.569831818181818,0.134006832128375,0.7376,0.286,23.516909349842,44
"31",622592.78,7958998.59,"Jul",0.429084090909091,0.120263342717055,0.666,0.2406,28.0279192971839,44
"32",622592.78,7958998.59,"Aug",0.368419047619048,0.0932265696401821,0.5751,0.231,25.3044923281437,42
"33",622592.78,7958998.59,"Sep",0.353533333333333,0.106274354262841,0.6842,0.1865,30.0606319808148,42
"34",622592.78,7958998.59,"Oct",0.414303703703704,0.124933802414539,0.7205,0.2162,30.1551256476064,27
"35",622592.78,7958998.59,"Nov",0.503811111111111,0.123235288957524,0.8025,0.2248,24.4606135592642,36
"36",622592.78,7958998.59,"Dec",0.602759523809524,0.153712439884928,0.8631,0.1966,25.5014535338146,42
"37",622661.99,7960001.85,"Jan",0.72067619047619,0.12815698987346,0.8831,0.3841,17.7828810729518,42
"38",622661.99,7960001.85,"Feb",0.748374418604651,0.126361942532106,0.9756,0.2881,16.8848559478701,43
"39",622661.99,7960001.85,"Mar",0.715659090909091,0.0998759284223386,0.8347,0.4214,13.9557967880304,44
"40",622661.99,7960001.85,"Apr",0.70766976744186,0.113806526582625,0.8439,0.4158,16.0818692303363,43
"41",622661.99,7960001.85,"May",0.658352272727273,0.121494544788312,0.8127,0.3677,18.4543366555131,44
"42",622661.99,7960001.85,"Jun",0.585772727272727,0.125883839706953,0.7825,0.2785,21.49021861995,44
"43",622661.99,7960001.85,"Jul",0.489254545454545,0.0994689561354311,0.7004,0.2884,20.3307168138865,44
"44",622661.99,7960001.85,"Aug",0.398180952380952,0.0682885421882236,0.5617,0.2594,17.150127794885,42
"45",622661.99,7960001.85,"Sep",0.396716666666667,0.0975874689993088,0.7089,0.2445,24.5987822541635,42
"46",622661.99,7960001.85,"Oct",0.493133333333333,0.168086150072378,0.7854,0.0535,34.0853352857329,27
"47",622661.99,7960001.85,"Nov",0.56215,0.124829947185304,0.8149,0.3325,22.2058075576454,36
"48",622661.99,7960001.85,"Dec",0.669776190476191,0.137129038054733,0.9101,0.2348,20.473859776538,42
"49",622668.26,7959231.66,"Jan",0.681547619047619,0.176062101347161,0.9183,0.231,25.8326925994088,42
"50",622668.26,7959231.66,"Feb",0.757393023255814,0.114371900468746,0.9253,0.4758,15.1007332992182,43
"51",622668.26,7959231.66,"Mar",0.702236363636364,0.150707324694926,0.8646,0.2305,21.4610539269889,44
"52",622668.26,7959231.66,"Apr",0.645048837209302,0.17362194612775,0.8401,0.296,26.9160931874393,43
"53",622668.26,7959231.66,"May",0.638765909090909,0.140345276791772,0.8109,0.3125,21.9713160634247,44
"54",622668.26,7959231.66,"Jun",0.545268181818182,0.144039974704581,0.7727,0.286,26.4163542835534,44
"55",622668.26,7959231.66,"Jul",0.415129545454545,0.128358164559528,0.6754,0.2302,30.9200262821531,44
"56",622668.26,7959231.66,"Aug",0.33695,0.0871670256797469,0.5403,0.1664,25.8694244486562,42
"57",622668.26,7959231.66,"Sep",0.342488095238095,0.109468182708729,0.6937,0.1685,31.9626241702292,42
"58",622668.26,7959231.66,"Oct",0.424603703703704,0.116277071228369,0.6999,0.2348,27.3848462022624,27
"59",622668.26,7959231.66,"Nov",0.506352777777778,0.125832708639257,0.7959,0.2215,24.8507985265721,36
"60",622668.26,7959231.66,"Dec",0.606221428571429,0.129058136900966,0.8637,0.2565,21.2889434154602,42
"61",622737.52,7960234.42,"Jan",0.685645238095238,0.168235971331763,0.9631,0.215,24.5368832137058,42
"62",622737.52,7960234.42,"Feb",0.733153488372093,0.136615231927792,0.9038,0.1547,18.6339196490949,43
"63",622737.52,7960234.42,"Mar",0.663615909090909,0.154599483953502,0.8416,0.197,23.296530694282,44
"64",622737.52,7960234.42,"Apr",0.640451162790698,0.160803059631062,0.8591,0.3582,25.1077785432351,43
"65",622737.52,7960234.42,"May",0.611863636363636,0.17344022640468,0.8351,0.2946,28.3462222784559,44
"66",622737.52,7960234.42,"Jun",0.5252,0.169767992162217,0.772,0.2158,32.3244463370559,44
"67",622737.52,7960234.42,"Jul",0.409120930232558,0.143460383710459,0.6998,0.2182,35.0655205122142,43
"68",622737.52,7960234.42,"Aug",0.311095238095238,0.0995452684188258,0.5688,0.1776,31.9983259879893,42
"69",622737.52,7960234.42,"Sep",0.303497619047619,0.109224395309739,0.6529,0.1423,35.9885509654037,42
"70",622737.52,7960234.42,"Oct",0.370722222222222,0.144426625856904,0.6787,0.1841,38.9581787115882,27
"71",622737.52,7960234.42,"Nov",0.451958333333333,0.136871030796983,0.8149,0.2476,30.2839931697943,36
"72",622737.52,7960234.42,"Dec",0.57327380952381,0.153779693637936,0.924,0.2717,26.8248245573391,42
"73",622745.01,7959462.97,"Jan",0.668964285714286,0.179003952567655,0.911,0.224,26.7583720671311,42
"74",622745.01,7959462.97,"Feb",0.754974418604651,0.146913713083278,0.9245,0.2513,19.4594292816974,43
"75",622745.01,7959462.97,"Mar",0.708086363636364,0.149052437457597,0.8718,0.2631,21.0500364238256,44
"76",622745.01,7959462.97,"Apr",0.647795348837209,0.176363948580213,0.8521,0.2682,27.2252570038957,43
"77",622745.01,7959462.97,"May",0.627190909090909,0.159708629782681,0.8219,0.2932,25.4641174589365,44
"78",622745.01,7959462.97,"Jun",0.548140909090909,0.150890037457102,0.752,0.2246,27.5276001032932,44
"79",622745.01,7959462.97,"Jul",0.423038636363636,0.129704786836608,0.6835,0.2413,30.6602696981832,44
"80",622745.01,7959462.97,"Aug",0.334109523809524,0.0928902678341725,0.5397,0.1464,27.80234061425,42
"81",622745.01,7959462.97,"Sep",0.351047619047619,0.102036522007863,0.7189,0.1888,29.0662908595377,42
"82",622745.01,7959462.97,"Oct",0.424211111111111,0.119211509941633,0.698,0.2311,28.1019301048927,27
"83",622745.01,7959462.97,"Nov",0.489505555555556,0.136252203011169,0.8441,0.214,27.8346591708305,36
"84",622745.01,7959462.97,"Dec",0.618523809523809,0.134303541913456,0.9021,0.3014,21.7135605526413,42
"85",622750.04,7958690.97,"Jan",0.694654761904762,0.172843818126585,0.9212,0.1904,24.8819741266356,42
"86",622750.04,7958690.97,"Feb",0.715523255813953,0.11178122305308,0.9192,0.4076,15.622304676306,43
"87",622750.04,7958690.97,"Mar",0.591581818181818,0.154956672523025,0.8521,0.3078,26.1936164636149,44
"88",622750.04,7958690.97,"Apr",0.629513953488372,0.15145308024253,0.8519,0.3401,24.0587328371789,43
"89",622750.04,7958690.97,"May",0.570475,0.137974397903177,0.76,0.325,24.1858798200056,44
"90",622750.04,7958690.97,"Jun",0.451275,0.120542139934547,0.6787,0.2409,26.7114597384183,44
"91",622750.04,7958690.97,"Jul",0.340713636363636,0.104079557206638,0.636,0.1725,30.5475173572319,44
"92",622750.04,7958690.97,"Aug",0.259880952380952,0.0687215634781087,0.444,0.121,26.4434783882782,42
"93",622750.04,7958690.97,"Sep",0.257669047619048,0.0914363019334551,0.5972,0.1311,35.4859471008872,42
"94",622750.04,7958690.97,"Oct",0.334866666666667,0.110087335958599,0.6037,0.1453,32.874975898447,27
"95",622750.04,7958690.97,"Nov",0.383180555555556,0.119441499893569,0.6423,0.164,31.1710754008371,36
"96",622750.04,7958690.97,"Dec",0.594095121951219,0.174242662616277,0.8915,0.2153,29.3290848852625,41
"97",622819.81,7959695.58,"Jan",0.700997619047619,0.141781343999794,0.9048,0.2722,20.2256527193943,42
"98",622819.81,7959695.58,"Feb",0.742620930232558,0.124963205171495,0.9133,0.4174,16.8273206536694,43
"99",622819.81,7959695.58,"Mar",0.6896,0.144095825674251,0.8567,0.261,20.8955663680759,44
"100",622819.81,7959695.58,"Apr",0.652060465116279,0.167240606739618,0.8521,0.3024,25.6480212628433,43
"101",622819.81,7959695.58,"May",0.618879545454545,0.159881054013122,0.8283,0.2956,25.833953503132,44
"102",622819.81,7959695.58,"Jun",0.543606818181818,0.153076414111,0.7557,0.1784,28.1593992185362,44
"103",622819.81,7959695.58,"Jul",0.414831818181818,0.131242627740198,0.6678,0.1788,31.6375509273677,44
"104",622819.81,7959695.58,"Aug",0.324992857142857,0.0906251577434648,0.5503,0.1612,27.8852767842921,42
"105",622819.81,7959695.58,"Sep",0.333645238095238,0.10803954831987,0.7378,0.1529,32.3815646033677,42
