"","gleba","mes","ndvi_mean","ndvi_sd","ndvi_max","ndvi_min","ndvi_cv"
"1","Gleba 1","Jan",0.719286419753086,0.169519877448586,0.9923,0.0431,23.5677850704839
"2","Gleba 1","Feb",0.775925731432858,0.110321148409293,0.9633,0.3217,14.2180035975311
"3","Gleba 1","Mar",0.651346041055718,0.194295152050965,0.938,0.0969,29.8297893598994
"4","Gleba 1","Apr",0.624674493623406,0.210366869217212,0.8733,0.1119,33.6762380030895
"5","Gleba 1","May",0.596829618768328,0.194538239744697,0.8443,0.1402,32.5952723569859
"6","Gleba 1","Jun",0.548021994134897,0.189562692479752,0.8297,0.0972,34.5903439111042
"7","Gleba 1","Jul",0.471675225225225,0.178984074990625,0.7605,0.0726,37.9464651562228
"8","Gleba 1","Aug",0.392976344086022,0.151150630163319,0.6639,0.0651,38.4630353551848
"9","Gleba 1","Sep",0.344681874039939,0.148035310234653,0.7526,0.0961,42.9483884660266
"10","Gleba 1","Oct",0.365140143369176,0.173379606033974,0.8005,0.0558,47.4830306068754
"11","Gleba 1","Nov",0.417560752688172,0.1766364679068,0.8578,0.0874,42.3019804350983
"12","Gleba 1","Dec",0.552519021310181,0.177672690512244,0.9549,0.0603,32.1568459472999
"13","Gleba 2","Jan",0.676768875651526,0.16941361557979,0.9736,0.0052,25.0327137779046
"14","Gleba 2","Feb",0.721941806263656,0.142696952636623,0.9756,0.1547,19.7657139950294
"15","Gleba 2","Mar",0.669646875,0.159904492164073,0.9078,0.12,23.8789275562696
"16","Gleba 2","Apr",0.615128706395349,0.19790933787717,0.905,0.0656,32.1736468839047
"17","Gleba 2","May",0.591312642045455,0.170301530477125,0.8495,0.1185,28.8005901392573
"18","Gleba 2","Jun",0.494342258522727,0.165737207397319,0.8155,0.0818,33.5268135669004
"19","Gleba 2","Jul",0.373337980085349,0.131876343438168,0.7004,0.0861,35.323580903293
"20","Gleba 2","Aug",0.298187425595238,0.0971374783121648,0.6126,0.0521,32.5759807336812
"21","Gleba 2","Sep",0.291780505952381,0.119009356300297,0.744,0.0459,40.7872883460281
"22","Gleba 2","Oct",0.355457407407407,0.148110823390195,0.7854,0.0535,41.6676710918668
"23","Gleba 2","Nov",0.450506857638889,0.157514345866105,0.8715,0.0522,34.96380647603
"24","Gleba 2","Dec",0.590520671641791,0.177475497004206,0.9268,0.0449,30.0540701667193
"25","Gleba 3","Jan",0.727963401109057,0.157958917275757,0.9647,0.0634,21.6987443372985
"26","Gleba 3","Feb",0.748755456171735,0.118545685587588,0.9396,0.1359,15.8323635053951
"27","Gleba 3","Mar",0.657143531468531,0.157627235050097,0.9306,0.1161,23.9867285458694
"28","Gleba 3","Apr",0.611120214669052,0.182829858043123,0.8719,0.1035,29.9171674663279
"29","Gleba 3","May",0.578637237762238,0.171018216872762,0.8098,0.1885,29.5553423996943
"30","Gleba 3","Jun",0.493472377622378,0.161906331613077,0.7556,0.1591,32.8096037296282
"31","Gleba 3","Jul",0.400915734265734,0.140293451759661,0.7253,0.119,34.9932516409226
"32","Gleba 3","Aug",0.355023992673993,0.120620131869793,0.7063,0.1036,33.9752057209706
"33","Gleba 3","Sep",0.344607142857143,0.133796221763024,0.7495,0.1184,38.8257250426435
"34","Gleba 3","Oct",0.403939886039886,0.160678347919913,0.7646,0.1119,39.7777871096511
"35","Gleba 3","Nov",0.490908333333333,0.152263427747231,0.7964,0.1232,31.0166720359668
"36","Gleba 3","Dec",0.615199245283019,0.164852913072198,0.8975,0.1086,26.7966702391448
"37","Gleba 4","Jan",0.696196561403509,0.170195549240118,0.9651,0.004,24.4464794392275
"38","Gleba 4","Feb",0.735503969883641,0.13743236348173,0.9528,0.136,18.6854686186769
"39","Gleba 4","Mar",0.66910307486631,0.161826555869297,0.9379,0.1261,24.1855944095954
"40","Gleba 4","Apr",0.598422708618331,0.200100342155929,0.9826,0.0464,33.4379593678741
"41","Gleba 4","May",0.568099598930481,0.178879120223722,0.8364,0.1481,31.4872815542354
"42","Gleba 4","Jun",0.482626737967914,0.168480806942554,0.8085,0.0972,34.909132397417
"43","Gleba 4","Jul",0.376655414438503,0.134514694392299,0.704,0.0738,35.7129326264501
"44","Gleba 4","Aug",0.316395378151261,0.103829555324396,0.6712,0.0748,32.8163944527526
"45","Gleba 4","Sep",0.301753851540616,0.122910406487803,0.782,0.1071,40.7320091724691
"46","Gleba 4","Oct",0.36230174291939,0.157183535718579,0.8031,0.0623,43.3847031626208
"47","Gleba 4","Nov",0.483501633986928,0.163326995285494,0.8553,0.0874,33.7800296430662
"48","Gleba 4","Dec",0.600489886845827,0.181571817007318,0.9398,0.0287,30.2372814238478
